filepath,class,label,score_max,score_mean
/kaggle/input/datasets/abdallahalidev/plantvillage-dataset/plantvillage dataset/color/Corn_(maize)___healthy/721f6f6c-9f41-487d-82cc-1bbe2fa55b61___R.S_HL 0617 copy 3.jpg,healthy,0,3.3549242,2.272587
/kaggle/input/datasets/abdallahalidev/plantvillage-dataset/plantvillage dataset/color/Corn_(maize)___healthy/3d7b536d-9c3c-4ac4-9027-1e7f3c1be0a6___R.S_HL 8215 copy.jpg,healthy,0,2.9034588,2.207804
/kaggle/input/datasets/abdallahalidev/plantvillage-dataset/plantvillage dataset/color/Corn_(maize)___healthy/ca48bf18-8687-40b7-93b2-c85adf03e507___R.S_HL 5546 copy.jpg,healthy,0,3.3703537,2.4148426
/kaggle/input/datasets/abdallahalidev/plantvillage-dataset/plantvillage dataset/color/Corn_(maize)___healthy/ae2d73a4-c6e2-4b85-aaa7-3027e2a2c6a9___R.S_HL 5564 copy.jpg,healthy,0,3.7172403,2.5484085
/kaggle/input/datasets/abdallahalidev/plantvillage-dataset/plantvillage dataset/color/Corn_(maize)___healthy/dfadedc1-b741-451c-9871-a8f7ba9db906___R.S_HL 7969 copy 2.jpg,healthy,0,2.8663008,2.1960013
/kaggle/input/datasets/abdallahalidev/plantvillage-dataset/plantvillage dataset/color/Corn_(maize)___healthy/5c4c7615-f758-4dfd-a277-1dc94aa94a95___R.S_HL 8343 copy.jpg,healthy,0,2.7466774,2.2554576
/kaggle/input/datasets/abdallahalidev/plantvillage-dataset/plantvillage dataset/color/Corn_(maize)___healthy/88ceaf86-c010-42d0-b1d2-8ee4f17655d5___R.S_HL 8210 copy.jpg,healthy,0,3.7303588,2.569458
/kaggle/input/datasets/abdallahalidev/plantvillage-dataset/plantvillage dataset/color/Corn_(maize)___healthy/5c0f3b34-c38c-440e-80b4-202662c1e9c1___R.S_HL 8070 copy 2.jpg,healthy,0,3.1671934,2.2722158
/kaggle/input/datasets/abdallahalidev/plantvillage-dataset/plantvillage dataset/color/Corn_(maize)___healthy/1a6053ad-4783-490e-bf0f-292af5a4dfa7___R.S_HL 8165 copy 2.jpg,healthy,0,4.1137447,2.1701202
/kaggle/input/datasets/abdallahalidev/plantvillage-dataset/plantvillage dataset/color/Corn_(maize)___healthy/74a4c1f4-26e2-4861-bcc8-16d26f215387___R.S_HL 8300 copy 2.jpg,healthy,0,2.7523856,2.190401
/kaggle/input/datasets/abdallahalidev/plantvillage-dataset/plantvillage dataset/color/Corn_(maize)___healthy/af750927-82e2-4089-a40f-b4c86eec3118___R.S_HL 7883 copy.jpg,healthy,0,3.5364695,2.2709622
/kaggle/input/datasets/abdallahalidev/plantvillage-dataset/plantvillage dataset/color/Corn_(maize)___healthy/8927572e-48ce-4933-a9f8-0a491d7b5bc2___R.S_HL 8310 copy.jpg,healthy,0,3.1643114,2.4652112
/kaggle/input/datasets/abdallahalidev/plantvillage-dataset/plantvillage dataset/color/Corn_(maize)___healthy/fe301311-6c07-49d8-933a-aa10287b205e___R.S_HL 8220 copy 4.jpg,healthy,0,3.756394,2.2472622
/kaggle/input/datasets/abdallahalidev/plantvillage-dataset/plantvillage dataset/color/Corn_(maize)___healthy/62d6481b-2d3f-4998-83f9-7071b5fd9446___R.S_HL 8290 copy.jpg,healthy,0,2.9630246,2.3472524
/kaggle/input/datasets/abdallahalidev/plantvillage-dataset/plantvillage dataset/color/Corn_(maize)___healthy/16c3cff6-3abb-4af5-979a-9ab375e4a9b1___R.S_HL 5562 copy.jpg,healthy,0,3.2599692,2.0513892
/kaggle/input/datasets/abdallahalidev/plantvillage-dataset/plantvillage dataset/color/Corn_(maize)___healthy/8d131c52-5327-4883-bb72-9b3df34dd7a9___R.S_HL 8220 copy 3.jpg,healthy,0,2.6405225,2.047035
/kaggle/input/datasets/abdallahalidev/plantvillage-dataset/plantvillage dataset/color/Corn_(maize)___healthy/5face5cd-e150-42f5-8ae6-eef79c43b05b___R.S_HL 8010 copy 2.jpg,healthy,0,2.997422,2.4875119
/kaggle/input/datasets/abdallahalidev/plantvillage-dataset/plantvillage dataset/color/Corn_(maize)___healthy/74fd304e-662f-4b5c-a6d5-22b293c99a4d___R.S_HL 5492 copy 2.jpg,healthy,0,3.2813818,2.461782
/kaggle/input/datasets/abdallahalidev/plantvillage-dataset/plantvillage dataset/color/Corn_(maize)___healthy/a6af632c-f017-40b4-a16a-182269a5a0d7___R.S_HL 0652 copy.jpg,healthy,0,3.6858232,2.372069
/kaggle/input/datasets/abdallahalidev/plantvillage-dataset/plantvillage dataset/color/Corn_(maize)___healthy/cbea79a3-7a68-4d16-b509-c84f333f9a38___R.S_HL 8137 copy 2.jpg,healthy,0,3.7009156,2.4263346
/kaggle/input/datasets/abdallahalidev/plantvillage-dataset/plantvillage dataset/color/Corn_(maize)___healthy/461baed2-cdf3-4ce0-9812-65f34484bb35___R.S_HL 8031 copy  3.jpg,healthy,0,2.7936795,2.3086836
/kaggle/input/datasets/abdallahalidev/plantvillage-dataset/plantvillage dataset/color/Corn_(maize)___healthy/ff3d5051-494b-414e-adac-dd9c0e313dda___R.S_HL 8055 copy 2.jpg,healthy,0,2.706989,2.0572872
/kaggle/input/datasets/abdallahalidev/plantvillage-dataset/plantvillage dataset/color/Corn_(maize)___healthy/f09ff96a-fb4b-47c4-887e-2734dadb7feb___R.S_HL 8166 copy 2.jpg,healthy,0,2.970506,2.1700356
/kaggle/input/datasets/abdallahalidev/plantvillage-dataset/plantvillage dataset/color/Corn_(maize)___healthy/4a960b84-d0be-4118-83bf-24c46678b7f6___R.S_HL 0624 copy 2.jpg,healthy,0,3.0882223,2.086423
/kaggle/input/datasets/abdallahalidev/plantvillage-dataset/plantvillage dataset/color/Corn_(maize)___healthy/1c94fdf8-0f7e-4e39-bdae-c542a6c3c755___R.S_HL 8280 copy.jpg,healthy,0,2.8374043,2.207918
/kaggle/input/datasets/abdallahalidev/plantvillage-dataset/plantvillage dataset/color/Corn_(maize)___healthy/7399e301-9493-4e45-8674-aa1f676d6d92___R.S_HL 7900 copy 3.jpg,healthy,0,3.8106616,2.3144217
/kaggle/input/datasets/abdallahalidev/plantvillage-dataset/plantvillage dataset/color/Corn_(maize)___healthy/5bed19a9-9318-4160-926f-c2c641995c1e___R.S_HL 8167 copy 2.jpg,healthy,0,3.3258433,2.1510293
/kaggle/input/datasets/abdallahalidev/plantvillage-dataset/plantvillage dataset/color/Corn_(maize)___healthy/9d37aa23-994e-41b8-8f4c-1e11a05506cf___R.S_HL 8046 copy.jpg,healthy,0,3.4314327,2.3617003
/kaggle/input/datasets/abdallahalidev/plantvillage-dataset/plantvillage dataset/color/Corn_(maize)___healthy/a359473f-0671-4c8d-babd-64921e1babe1___R.S_HL 5552 copy.jpg,healthy,0,3.6453717,2.6100233
/kaggle/input/datasets/abdallahalidev/plantvillage-dataset/plantvillage dataset/color/Corn_(maize)___healthy/4619bdbf-5229-4af8-9bdc-1a9b3a25c817___R.S_HL 8263 copy.jpg,healthy,0,2.8818183,2.1912594
/kaggle/input/datasets/abdallahalidev/plantvillage-dataset/plantvillage dataset/color/Corn_(maize)___healthy/a0940ca1-3040-4432-99a6-83979e94cdf5___R.S_HL 8035 copy 2.jpg,healthy,0,3.5745454,2.3450959
/kaggle/input/datasets/abdallahalidev/plantvillage-dataset/plantvillage dataset/color/Corn_(maize)___healthy/c7f3bbd2-2aec-4031-9af0-9fb7653e6ae9___R.S_HL 8188 copy 2.jpg,healthy,0,2.8837109,2.1699607
/kaggle/input/datasets/abdallahalidev/plantvillage-dataset/plantvillage dataset/color/Corn_(maize)___healthy/fa7d8ffc-4e21-4a6d-9042-63fa7e4a1df0___R.S_HL 0636 copy 3.jpg,healthy,0,3.1458726,2.146155
/kaggle/input/datasets/abdallahalidev/plantvillage-dataset/plantvillage dataset/color/Corn_(maize)___healthy/f8f2663a-df9b-4c0b-bddc-0f0c6fc5c7cf___R.S_HL 8126 copy.jpg,healthy,0,3.1846924,2.476348
/kaggle/input/datasets/abdallahalidev/plantvillage-dataset/plantvillage dataset/color/Corn_(maize)___healthy/2930a76c-f0f6-4880-8ec7-f06aaaf257d1___R.S_HL 8155 copy.jpg,healthy,0,3.0073857,2.282537
/kaggle/input/datasets/abdallahalidev/plantvillage-dataset/plantvillage dataset/color/Corn_(maize)___healthy/fd97c512-f9cf-42ce-9a67-48951418db99___R.S_HL 7935 copy 3.jpg,healthy,0,3.7557504,2.6009936
/kaggle/input/datasets/abdallahalidev/plantvillage-dataset/plantvillage dataset/color/Corn_(maize)___healthy/1fb30be0-c5e0-4e31-a9e4-329194e87cd7___R.S_HL 8134 copy.jpg,healthy,0,2.9032974,2.0739973
/kaggle/input/datasets/abdallahalidev/plantvillage-dataset/plantvillage dataset/color/Corn_(maize)___healthy/7ebb0c77-b07d-421f-b593-3e2dc3f92254___R.S_HL 8306 copy 2.jpg,healthy,0,2.792013,2.194108
/kaggle/input/datasets/abdallahalidev/plantvillage-dataset/plantvillage dataset/color/Corn_(maize)___healthy/624c0cfa-3729-4f6c-9236-1c3a4ee66431___R.S_HL 8214 copy.jpg,healthy,0,3.1752985,2.2386758
/kaggle/input/datasets/abdallahalidev/plantvillage-dataset/plantvillage dataset/color/Corn_(maize)___healthy/13b74f08-faed-40d7-8771-b1fc384e5e4a___R.S_HL 8259 copy 2.jpg,healthy,0,2.7948742,2.1646256
/kaggle/input/datasets/abdallahalidev/plantvillage-dataset/plantvillage dataset/color/Corn_(maize)___healthy/1b2f5c24-e2af-47cf-b9c2-f2b8c4c25a3f___R.S_HL 7990 copy.jpg,healthy,0,2.9104197,2.215454
/kaggle/input/datasets/abdallahalidev/plantvillage-dataset/plantvillage dataset/color/Corn_(maize)___healthy/53be8546-8213-4568-a469-31e19edd1ec4___R.S_HL 7892 copy 2.jpg,healthy,0,3.5489843,2.6106515
/kaggle/input/datasets/abdallahalidev/plantvillage-dataset/plantvillage dataset/color/Corn_(maize)___healthy/9fc7cf37-b583-491c-adc3-a391edc73aae___R.S_HL 7973 copy 2.jpg,healthy,0,3.160933,2.3303835
/kaggle/input/datasets/abdallahalidev/plantvillage-dataset/plantvillage dataset/color/Corn_(maize)___healthy/8063bae7-2a39-449b-b3f4-7004e86c45de___R.S_HL 8277 copy 2.jpg,healthy,0,3.0766199,2.218263
/kaggle/input/datasets/abdallahalidev/plantvillage-dataset/plantvillage dataset/color/Corn_(maize)___healthy/1f5c2a29-e3b6-4d3e-9fbc-019d6bf7ed94___R.S_HL 0614 copy 2.jpg,healthy,0,3.1940114,2.324723
/kaggle/input/datasets/abdallahalidev/plantvillage-dataset/plantvillage dataset/color/Corn_(maize)___healthy/a694e61f-3a63-40ac-9a31-66732cf9921d___R.S_HL 8116 copy 2.jpg,healthy,0,2.7981439,2.1890512
/kaggle/input/datasets/abdallahalidev/plantvillage-dataset/plantvillage dataset/color/Corn_(maize)___healthy/354890d4-ba2a-43b3-a97c-f9108c480ccd___R.S_HL 8174 copy 2.jpg,healthy,0,2.940259,2.2653313
/kaggle/input/datasets/abdallahalidev/plantvillage-dataset/plantvillage dataset/color/Corn_(maize)___healthy/f21eae95-ba11-4eeb-bd33-e003535bbaea___R.S_HL 8164 copy.jpg,healthy,0,3.2275836,2.492918
/kaggle/input/datasets/abdallahalidev/plantvillage-dataset/plantvillage dataset/color/Corn_(maize)___healthy/caf84ecd-be68-434b-8a0c-86cdccd4eb94___R.S_HL 8036 copy.jpg,healthy,0,3.7753704,2.3404243
/kaggle/input/datasets/abdallahalidev/plantvillage-dataset/plantvillage dataset/color/Corn_(maize)___healthy/12bab18c-050a-4f66-b15d-49a8e19a8d06___R.S_HL 0616.JPG,healthy,0,3.100026,2.475268
/kaggle/input/datasets/abdallahalidev/plantvillage-dataset/plantvillage dataset/color/Corn_(maize)___healthy/71288499-1409-445f-b3af-40310f50471c___R.S_HL 7904 copy 2.jpg,healthy,0,3.0943635,2.3433137
/kaggle/input/datasets/abdallahalidev/plantvillage-dataset/plantvillage dataset/color/Corn_(maize)___healthy/99020386-3a33-4b62-b707-2986786393c3___R.S_HL 8200 copy.jpg,healthy,0,2.993046,2.1474397
/kaggle/input/datasets/abdallahalidev/plantvillage-dataset/plantvillage dataset/color/Corn_(maize)___healthy/9ea8e303-02c0-457b-a5ae-b48052a8aee1___R.S_HL 8264 copy 2.jpg,healthy,0,2.6976001,2.009687
/kaggle/input/datasets/abdallahalidev/plantvillage-dataset/plantvillage dataset/color/Corn_(maize)___healthy/28be876d-e1c7-4c86-8241-0077b1393ac0___R.S_HL 7972 copy.jpg,healthy,0,3.2244697,2.316074
/kaggle/input/datasets/abdallahalidev/plantvillage-dataset/plantvillage dataset/color/Corn_(maize)___healthy/a72de5a7-34e6-484d-b4a9-b047ae3a77b2___R.S_HL 7881 copy.jpg,healthy,0,3.407264,2.5854611
/kaggle/input/datasets/abdallahalidev/plantvillage-dataset/plantvillage dataset/color/Corn_(maize)___healthy/26f3cea7-cffe-4d2e-8e72-491a61653fb8___R.S_HL 0626 copy 3.jpg,healthy,0,3.5089254,2.1145968
/kaggle/input/datasets/abdallahalidev/plantvillage-dataset/plantvillage dataset/color/Corn_(maize)___healthy/fec7d3b4-736b-4d95-92cb-2e8b302f7488___R.S_HL 8306 copy.jpg,healthy,0,3.177105,2.2705503
/kaggle/input/datasets/abdallahalidev/plantvillage-dataset/plantvillage dataset/color/Corn_(maize)___healthy/93b1bb29-3a7c-4465-8fbe-ca961c1b9bb0___R.S_HL 8121 copy.jpg,healthy,0,3.1427386,2.2376842
/kaggle/input/datasets/abdallahalidev/plantvillage-dataset/plantvillage dataset/color/Corn_(maize)___healthy/5df427b4-e962-426c-8572-3a173e109832___R.S_HL 8338 copy 2.jpg,healthy,0,3.0957978,2.2348483
/kaggle/input/datasets/abdallahalidev/plantvillage-dataset/plantvillage dataset/color/Corn_(maize)___healthy/433a363a-c354-4972-bd8c-b3fcee49a336___R.S_HL 8302 copy 2.jpg,healthy,0,3.0883734,2.2096856
/kaggle/input/datasets/abdallahalidev/plantvillage-dataset/plantvillage dataset/color/Corn_(maize)___healthy/fb7c73e2-6f3a-4dcc-bc31-217f37512d68___R.S_HL 8293 copy.jpg,healthy,0,2.9277346,2.325112
/kaggle/input/datasets/abdallahalidev/plantvillage-dataset/plantvillage dataset/color/Corn_(maize)___healthy/95afbc6c-3e3a-4d1f-8933-d7cd73f1e8a1___R.S_HL 0612 copy.jpg,healthy,0,3.1270452,2.3512979
/kaggle/input/datasets/abdallahalidev/plantvillage-dataset/plantvillage dataset/color/Corn_(maize)___healthy/b7214149-73ad-481e-9227-c9fe77f10477___R.S_HL 7896 copy 2.jpg,healthy,0,3.1255448,2.2234962
/kaggle/input/datasets/abdallahalidev/plantvillage-dataset/plantvillage dataset/color/Corn_(maize)___healthy/44f2a3c4-6e69-40d8-9aec-ba79a37a767d___R.S_HL 5529 copy.jpg,healthy,0,3.167615,2.5064394
/kaggle/input/datasets/abdallahalidev/plantvillage-dataset/plantvillage dataset/color/Corn_(maize)___healthy/0487da8b-736c-4310-82d2-fa8acf4aed07___R.S_HL 0646 copy 3.jpg,healthy,0,4.012249,2.5065594
/kaggle/input/datasets/abdallahalidev/plantvillage-dataset/plantvillage dataset/color/Corn_(maize)___healthy/799436ad-dbb3-4019-b150-db9e005a03a8___R.S_HL 5502 copy 2.jpg,healthy,0,3.4171152,2.4308958
/kaggle/input/datasets/abdallahalidev/plantvillage-dataset/plantvillage dataset/color/Corn_(maize)___healthy/c5f181df-88f9-4b33-8e95-d17a3de8a80f___R.S_HL 8178 copy 2.jpg,healthy,0,2.7365847,2.0236266
/kaggle/input/datasets/abdallahalidev/plantvillage-dataset/plantvillage dataset/color/Corn_(maize)___healthy/5fd226ef-ae5a-45e8-bacc-c34f6d9aa94f___R.S_HL 8327 copy 2.jpg,healthy,0,3.0261633,2.3697062
/kaggle/input/datasets/abdallahalidev/plantvillage-dataset/plantvillage dataset/color/Corn_(maize)___healthy/b5f20d48-e6ab-401c-81b4-58e5147576b3___R.S_HL 8141 copy 2.jpg,healthy,0,3.0297039,2.3240452
/kaggle/input/datasets/abdallahalidev/plantvillage-dataset/plantvillage dataset/color/Corn_(maize)___healthy/febf9991-3178-49f7-a46d-fe4177e8502a___R.S_HL 7982 copy.jpg,healthy,0,3.2415314,2.251553
/kaggle/input/datasets/abdallahalidev/plantvillage-dataset/plantvillage dataset/color/Corn_(maize)___healthy/57414792-9bc5-40c2-b7cb-b764a2531225___R.S_HL 8152 copy.jpg,healthy,0,2.910889,2.1199262
/kaggle/input/datasets/abdallahalidev/plantvillage-dataset/plantvillage dataset/color/Corn_(maize)___healthy/0b799242-624f-46fb-acd3-a9352e8b4213___R.S_HL 8216 copy 2.jpg,healthy,0,2.6519845,2.1225462
/kaggle/input/datasets/abdallahalidev/plantvillage-dataset/plantvillage dataset/color/Corn_(maize)___healthy/e2b6e2e6-4b4a-46be-8459-153661e95d35___R.S_HL 5535 copy.jpg,healthy,0,3.2287102,2.4237542
/kaggle/input/datasets/abdallahalidev/plantvillage-dataset/plantvillage dataset/color/Corn_(maize)___healthy/641fd2fc-a98e-44c7-bac6-5e626aad8747___R.S_HL 8140 copy.jpg,healthy,0,2.8160737,2.3251529
/kaggle/input/datasets/abdallahalidev/plantvillage-dataset/plantvillage dataset/color/Corn_(maize)___healthy/5f4e7326-54e9-4aa4-beac-7fce5b4ff97e___R.S_HL 8197 copy 2.jpg,healthy,0,3.1377,2.39676
/kaggle/input/datasets/abdallahalidev/plantvillage-dataset/plantvillage dataset/color/Corn_(maize)___healthy/270c2463-8d8d-48b2-a79e-c5319c5c1763___R.S_HL 8098 copy 2.jpg,healthy,0,2.7351995,2.1912932
/kaggle/input/datasets/abdallahalidev/plantvillage-dataset/plantvillage dataset/color/Corn_(maize)___healthy/0d61ead9-f316-408e-88f5-fbecdfb11c1a___R.S_HL 8324 copy 3.jpg,healthy,0,3.4061284,2.4992204
/kaggle/input/datasets/abdallahalidev/plantvillage-dataset/plantvillage dataset/color/Corn_(maize)___healthy/0f16ec85-220f-4b3f-8a89-6e463676c8b0___R.S_HL 8013 copy 2.jpg,healthy,0,2.9058404,2.2287257
/kaggle/input/datasets/abdallahalidev/plantvillage-dataset/plantvillage dataset/color/Corn_(maize)___healthy/b6b9231f-639a-49d3-b8ae-0cde9047a17f___R.S_HL 8311 copy.jpg,healthy,0,3.044477,2.3504426
/kaggle/input/datasets/abdallahalidev/plantvillage-dataset/plantvillage dataset/color/Corn_(maize)___healthy/22e495d5-0daa-4cf6-8555-61f26d091b66___R.S_HL 8061 copy.jpg,healthy,0,2.9561841,2.1571004
/kaggle/input/datasets/abdallahalidev/plantvillage-dataset/plantvillage dataset/color/Corn_(maize)___healthy/f6701648-427e-41ff-a375-96821ff63f26___R.S_HL 8076 copy 2.jpg,healthy,0,3.036526,2.2599792
/kaggle/input/datasets/abdallahalidev/plantvillage-dataset/plantvillage dataset/color/Corn_(maize)___healthy/2962f63b-7205-4318-af49-2eb03f16e135___R.S_HL 5522 copy.jpg,healthy,0,3.290813,2.4839988
/kaggle/input/datasets/abdallahalidev/plantvillage-dataset/plantvillage dataset/color/Corn_(maize)___healthy/3bb783b4-736f-411e-a980-01d4ad88147e___R.S_HL 0648 copy 2.jpg,healthy,0,3.694502,2.274311
/kaggle/input/datasets/abdallahalidev/plantvillage-dataset/plantvillage dataset/color/Corn_(maize)___healthy/60c28fba-748e-4979-9338-4d7d16a92e60___R.S_HL 8324 copy.jpg,healthy,0,2.8807323,2.059983
/kaggle/input/datasets/abdallahalidev/plantvillage-dataset/plantvillage dataset/color/Corn_(maize)___healthy/68a2cb35-42af-4760-ab0d-0abf06e2429a___R.S_HL 8270 copy 2.jpg,healthy,0,3.4507153,2.2650657
/kaggle/input/datasets/abdallahalidev/plantvillage-dataset/plantvillage dataset/color/Corn_(maize)___healthy/76cfe0ea-3e95-4b4c-9e63-ce238496a2e9___R.S_HL 5519 copy.jpg,healthy,0,3.9100523,2.3852568
/kaggle/input/datasets/abdallahalidev/plantvillage-dataset/plantvillage dataset/color/Corn_(maize)___healthy/0b1610fa-438a-42e2-9ba2-274bb64a29ed___R.S_HL 8091 copy 2.jpg,healthy,0,3.5220141,2.3378553
/kaggle/input/datasets/abdallahalidev/plantvillage-dataset/plantvillage dataset/color/Corn_(maize)___healthy/2dea9c22-b644-47f4-905b-ceaec13c929a___R.S_HL 0632 copy 4.jpg,healthy,0,3.4910538,2.0981178
/kaggle/input/datasets/abdallahalidev/plantvillage-dataset/plantvillage dataset/color/Corn_(maize)___Common_rust_/RS_Rust 1563.JPG,common_rust,1,4.696856,3.2967386
/kaggle/input/datasets/abdallahalidev/plantvillage-dataset/plantvillage dataset/color/Corn_(maize)___Common_rust_/RS_Rust 1564.JPG,common_rust,1,4.838242,3.3262398
/kaggle/input/datasets/abdallahalidev/plantvillage-dataset/plantvillage dataset/color/Corn_(maize)___Common_rust_/RS_Rust 1565.JPG,common_rust,1,4.0124245,3.068934
